PLAYER_ID,PLAYER_NAME,W,L,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
1631260,AJ Green,1,1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1631100,AJ Griffin,2,2,0.8,0.3,0.3,1.0,0.0,0.0,0.0,0.5,0.667,0.3,0.333,0.0,0.0,0.3,0.333,0.0,0.0
203932,Aaron Gordon,4,0,4.0,1.0,1.8,0.571,0.3,1.0,0.25,2.3,0.563,1.0,0.25,0.0,0.0,0.5,0.125,0.5,0.125
1628988,Aaron Holiday,0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630174,Aaron Nesmith,2,1,4.7,1.0,1.7,0.6,1.0,1.3,0.75,3.0,0.643,1.7,0.357,0.3,0.071,0.3,0.071,0.7,0.143
1630598,Aaron Wiggins,2,1,1.7,0.3,0.3,1.0,0.0,0.0,0.0,0.7,0.4,1.0,0.6,0.3,0.2,0.3,0.2,0.0,0.0
201143,Al Horford,3,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0
202692,Alec Burks,2,2,5.0,0.5,1.8,0.286,1.3,1.5,0.833,2.3,0.45,2.0,0.4,0.5,0.1,0.0,0.0,0.8,0.15
1630197,Aleksej Pokusevski,2,1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1627936,Alex Caruso,2,2,3.5,0.8,1.3,0.6,0.0,0.0,0.0,1.5,0.429,2.0,0.571,0.5,0.143,0.3,0.071,0.0,0.0
203458,Alex Len,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630578,Alperen Sengun,0,3,5.0,1.7,2.0,0.833,0.3,0.7,0.5,3.7,0.733,2.0,0.4,0.3,0.067,0.7,0.133,0.3,0.067
1641708,Amen Thompson,0,3,3.7,0.3,1.0,0.333,0.0,0.0,0.0,0.7,0.182,2.0,0.545,0.3,0.091,0.7,0.182,0.0,0.0
1629599,Amir Coffey,2,0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0
203083,Andre Drummond,2,2,0.8,0.3,0.5,0.5,0.0,0.0,0.0,0.5,0.667,0.0,0.0,0.0,0.0,0.3,0.333,0.0,0.0
1641748,Andre Jackson Jr.,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629614,Andrew Nembhard,2,1,8.7,2.3,3.3,0.7,0.0,0.0,0.0,4.7,0.538,4.0,0.462,3.0,0.346,0.7,0.077,0.0,0.0
203952,Andrew Wiggins,3,1,6.0,1.3,2.5,0.5,0.8,1.0,0.75,3.5,0.583,1.5,0.25,0.3,0.042,1.0,0.167,0.5,0.083
1629014,Anfernee Simons,0,1,12.0,2.0,4.0,0.5,2.0,2.0,1.0,6.0,0.5,7.0,0.583,3.0,0.25,0.0,0.0,1.0,0.083
1641710,Anthony Black,1,0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203076,Anthony Davis,2,2,6.3,1.5,4.0,0.375,0.8,1.0,0.75,3.8,0.6,1.0,0.16,0.0,0.0,0.0,0.0,0.8,0.12
1630162,Anthony Edwards,1,2,11.0,2.0,5.7,0.353,2.0,2.0,1.0,6.0,0.545,3.7,0.333,0.3,0.03,0.7,0.061,1.0,0.091
1630264,Anthony Gill,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1641709,Ausar Thompson,2,2,6.3,0.3,2.3,0.111,0.5,1.0,0.5,1.0,0.16,2.3,0.36,1.3,0.2,0.5,0.08,0.5,0.08
1630559,Austin Reaves,2,2,9.8,1.5,3.8,0.4,1.3,1.5,0.833,4.3,0.436,5.0,0.513,0.5,0.051,0.3,0.026,0.8,0.077
1630245,Ayo Dosunmu,2,2,2.0,0.8,1.3,0.6,0.0,0.0,0.0,1.5,0.75,0.8,0.375,0.0,0.0,0.0,0.0,0.0,0.0
1628389,Bam Adebayo,1,2,7.0,2.3,4.7,0.5,0.7,2.0,0.333,6.0,0.857,0.7,0.095,0.0,0.0,0.7,0.095,1.0,0.143
