PLAYER_ID,PLAYER_NAME,GP,W,L,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
1630639,A.J. Lawson,15,5,10,3.7,0.3,0.5,2.0,0.435,0.0,0.0,0.9,1.0,0.0,0.0,0.1,1.0,0.614
1631260,AJ Green,35,27,8,4.4,0.1,0.5,3.1,0.439,1.0,0.389,0.2,0.6,0.0,0.0,0.0,0.0,0.6
1628988,Aaron Holiday,63,32,31,3.9,1.3,0.418,1.3,0.435,1.0,0.38,0.2,0.429,0.0,0.0,0.0,0.25,0.5
1630174,Aaron Nesmith,73,30,43,10.1,2.2,0.446,4.0,0.355,1.3,0.435,0.8,0.591,0.0,0.0,0.3,0.786,0.525
1630598,Aaron Wiggins,70,37,33,6.8,1.3,0.448,1.9,0.385,0.2,0.353,1.9,0.659,0.0,0.5,0.2,0.375,0.579
202692,Alec Burks,50,12,38,12.9,3.0,0.49,3.3,0.434,4.9,0.426,0.2,0.444,0.2,0.571,0.2,0.444,0.551
1627936,Alex Caruso,66,32,34,5.6,0.8,0.436,2.5,0.385,0.2,0.207,0.8,0.605,0.0,0.0,0.2,0.462,0.555
1631214,Alondes Williams,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629599,Amir Coffey,50,26,24,3.4,1.4,0.407,0.7,0.324,0.4,0.286,0.1,0.5,0.0,0.0,0.1,0.0,0.424
2738,Andre Iguodala,7,2,5,1.7,0.4,1.0,0.0,0.0,0.0,0.0,1.1,1.0,0.0,0.0,0.3,1.0,0.417
1629614,Andrew Nembhard,75,32,43,9.5,3.2,0.451,3.0,0.377,2.4,0.359,0.3,0.571,0.0,0.0,0.2,0.636,0.512
1629014,Anfernee Simons,62,27,35,21.1,5.8,0.536,5.9,0.396,7.3,0.395,0.5,0.64,0.0,0.0,0.3,0.643,0.548
1630162,Anthony Edwards,78,39,39,24.5,9.3,0.523,3.5,0.418,7.2,0.351,0.9,0.767,0.4,0.522,0.5,0.783,0.527
1630559,Austin Reaves,64,35,29,13.0,4.3,0.607,3.1,0.402,2.7,0.472,0.6,0.6,0.0,0.0,0.2,0.5,0.616
203085,Austin Rivers,52,25,27,4.9,1.8,0.547,2.3,0.374,0.2,0.143,0.1,0.5,0.0,0.0,0.1,1.0,0.538
1630245,Ayo Dosunmu,79,39,40,8.5,2.8,0.593,2.2,0.314,0.7,0.373,0.6,0.636,0.0,0.0,0.2,0.857,0.541
1627732,Ben Simmons,42,24,18,6.9,1.7,0.525,0.1,0.4,0.2,0.235,3.4,0.711,0.5,0.5,0.8,0.516,0.566
1631097,Bennedict Mathurin,78,33,45,16.7,5.8,0.441,2.3,0.315,2.7,0.349,1.8,0.659,0.0,0.0,0.9,0.622,0.487
1631104,Blake Wesley,34,8,26,4.9,1.5,0.238,1.4,0.364,0.7,0.183,0.4,0.444,0.0,0.0,0.1,0.5,0.348
203992,Bogdan Bogdanovic,54,27,27,14.0,3.2,0.55,6.5,0.422,3.9,0.411,0.3,0.615,0.1,0.5,0.3,0.571,0.566
1630538,Bones Hyland,56,36,20,11.8,2.8,0.359,3.3,0.372,3.9,0.357,0.3,0.667,0.0,0.0,0.1,0.8,0.502
203078,Bradley Beal,50,24,26,23.2,10.0,0.546,3.1,0.412,7.2,0.442,1.5,0.689,0.3,0.5,1.2,0.5,0.551
1630527,Brandon Boston Jr.,22,9,13,6.5,2.0,0.356,0.7,0.313,2.1,0.392,0.2,0.286,0.1,0.333,0.1,0.5,0.467
1628971,Bruce Brown,80,53,27,11.5,3.3,0.446,3.2,0.371,1.2,0.344,1.7,0.671,0.1,1.0,0.8,0.7,0.545
1631121,Bryce McGowens,46,16,30,5.3,1.9,0.406,1.4,0.319,0.4,0.25,0.5,0.643,0.0,0.0,0.0,0.0,0.46
1627854,Bryn Forbes,25,9,16,3.6,1.0,0.381,1.2,0.294,1.1,0.375,0.1,1.0,0.0,0.0,0.0,0.0,0.446
1627741,Buddy Hield,80,35,45,16.8,2.5,0.494,7.6,0.418,4.4,0.431,0.8,0.771,0.0,0.0,0.4,0.833,0.596
203468,CJ McCollum,75,38,37,20.9,6.6,0.489,5.5,0.398,7.9,0.418,0.4,0.609,0.0,0.0,0.5,0.536,0.515
1630595,Cade Cunningham,12,3,9,19.9,9.8,0.469,2.4,0.303,8.0,0.415,0.8,0.6,0.3,1.0,0.3,0.667,0.453
1631216,Caleb Houstan,51,20,31,3.8,0.2,0.5,2.6,0.328,0.2,0.4,0.5,0.524,0.0,0.0,0.0,0.0,0.489
1629629,Cam Reddish,40,14,26,9.7,3.4,0.541,2.7,0.319,1.2,0.327,0.8,0.762,0.0,0.0,0.5,0.615,0.518
1630560,Cam Thomas,57,30,27,10.6,4.4,0.454,1.2,0.462,3.8,0.378,0.3,0.75,0.0,0.0,0.4,0.583,0.497
