PLAYER_ID,PLAYER_NAME,GP,W,L,TOUCHES,POST_TOUCHES,POST_TOUCH_FGM,POST_TOUCH_FGA,POST_TOUCH_FG_PCT,POST_TOUCH_FTM,POST_TOUCH_FTA,POST_TOUCH_FT_PCT,POST_TOUCH_PTS,POST_TOUCH_PTS_PCT,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCH_FOULS,POST_TOUCH_FOULS_PCT
1630639,A.J. Lawson,15,5,10,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631260,AJ Green,35,27,8,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628988,Aaron Holiday,63,32,31,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630174,Aaron Nesmith,73,30,43,36.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630598,Aaron Wiggins,70,37,33,20.9,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202692,Alec Burks,50,12,38,34.6,0.3,0.1,0.1,0.571,0.0,0.0,0.0,0.2,0.533,0.1,0.467,0.0,0.0,0.0,0.0,0.0,0.0
1627936,Alex Caruso,66,32,34,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1631214,Alondes Williams,1,1,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629599,Amir Coffey,50,26,24,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2738,Andre Iguodala,7,2,5,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629614,Andrew Nembhard,75,32,43,49.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.25,0.0,0.0
1629014,Anfernee Simons,62,27,35,67.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630162,Anthony Edwards,78,39,39,71.4,0.6,0.2,0.3,0.522,0.1,0.1,0.5,0.4,0.674,0.2,0.304,0.1,0.087,0.0,0.065,0.1,0.087
1630559,Austin Reaves,64,35,29,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203085,Austin Rivers,52,25,27,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630245,Ayo Dosunmu,79,39,40,42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627732,Ben Simmons,42,24,18,61.4,1.1,0.2,0.5,0.5,0.0,0.0,0.0,0.5,0.444,0.5,0.489,0.2,0.222,0.0,0.022,0.0,0.022
1631097,Bennedict Mathurin,78,33,45,42.0,0.1,0.0,0.1,0.0,0.0,0.1,0.75,0.0,0.273,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.182
1631104,Blake Wesley,34,8,26,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203992,Bogdan Bogdanovic,54,27,27,40.5,0.1,0.0,0.1,0.5,0.0,0.0,0.0,0.1,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0
1630538,Bones Hyland,56,36,20,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203078,Bradley Beal,50,24,26,67.9,0.6,0.1,0.3,0.5,0.0,0.0,0.0,0.3,0.438,0.2,0.313,0.0,0.063,0.1,0.125,0.0,0.0
1630527,Brandon Boston Jr.,22,9,13,19.5,0.1,0.0,0.1,0.333,0.0,0.0,0.0,0.1,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628971,Bruce Brown,80,53,27,51.6,0.1,0.0,0.0,1.0,0.0,0.0,1.0,0.1,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.25
1631121,Bryce McGowens,46,16,30,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627854,Bryn Forbes,25,9,16,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627741,Buddy Hield,80,35,45,58.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203468,CJ McCollum,75,38,37,75.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1630595,Cade Cunningham,12,3,9,78.3,0.4,0.1,0.1,1.0,0.0,0.0,0.0,0.3,0.6,0.3,0.6,0.0,0.0,0.1,0.2,0.0,0.0
1631216,Caleb Houstan,51,20,31,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629629,Cam Reddish,40,14,26,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630560,Cam Thomas,57,30,27,28.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626166,Cameron Payne,48,27,21,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627747,Caris LeVert,74,45,29,47.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0
1630637,Carlik Jones,6,3,3,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630537,Chris Duarte,46,19,27,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101108,Chris Paul,59,33,26,74.5,0.2,0.0,0.1,0.333,0.0,0.0,1.0,0.1,0.333,0.1,0.583,0.0,0.083,0.0,0.083,0.0,0.083
1631128,Christian Braun,76,49,27,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629632,Coby White,73,36,37,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630175,Cole Anthony,60,28,32,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629012,Collin Sexton,48,24,24,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
202709,Cory Joseph,62,12,50,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1626156,D'Angelo Russell,71,39,32,79.2,0.1,0.0,0.1,0.5,0.0,0.0,1.0,0.1,0.8,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.1
1630227,Daishen Nix,57,15,42,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203081,Damian Lillard,58,27,31,88.1,0.1,0.0,0.1,0.5,0.1,0.1,0.75,0.1,1.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.286
1627814,Damion Lee,74,40,34,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201980,Danny Green,11,6,5,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627863,Danuel House Jr.,56,38,18,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629636,Darius Garland,69,40,29,76.7,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630561,David Duke Jr.,23,10,13,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630558,Davion Mitchell,80,47,33,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628432,Davon Reed,43,29,14,14.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0
1628368,De'Aaron Fox,73,44,29,78.2,0.1,0.0,0.0,0.667,0.0,0.0,0.0,0.1,0.667,0.0,0.333,0.0,0.167,0.0,0.0,0.0,0.0
1629631,De'Andre Hunter,67,35,32,38.0,0.5,0.2,0.3,0.632,0.1,0.2,0.667,0.5,0.917,0.1,0.139,0.0,0.0,0.0,0.083,0.1,0.167
1629001,De'Anthony Melton,77,50,27,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201942,DeMar DeRozan,73,36,37,59.4,2.7,0.8,1.3,0.632,0.3,0.3,0.88,2.1,0.784,1.1,0.418,0.2,0.077,0.0,0.015,0.2,0.067
1627749,Dejounte Murray,74,38,36,72.6,0.1,0.0,0.0,0.333,0.0,0.0,0.5,0.0,0.3,0.1,0.6,0.0,0.2,0.0,0.0,0.0,0.1
1626153,Delon Wright,50,26,24,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203471,Dennis Schroder,67,37,30,54.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628372,Dennis Smith Jr.,54,19,35,53.9,0.1,0.0,0.1,0.333,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
1629126,Deonte Burton,2,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631220,Dereon Seabron,5,2,3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201565,Derrick Rose,27,12,15,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628401,Derrick White,82,57,25,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1630217,Desmond Bane,58,38,20,63.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626164,Devin Booker,53,34,19,64.1,1.2,0.3,0.6,0.581,0.2,0.2,1.0,0.9,0.708,0.4,0.354,0.0,0.031,0.1,0.046,0.1,0.062
1630170,Devin Vassell,38,12,26,53.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629653,Devon Dotson,6,1,5,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628984,Devonte' Graham,73,31,42,34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628415,Dillon Brooks,73,46,27,41.2,0.2,0.0,0.1,0.6,0.0,0.0,1.0,0.1,0.667,0.1,0.417,0.0,0.25,0.0,0.083,0.0,0.083
1628378,Donovan Mitchell,68,44,24,67.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
1631495,Donovan Williams,2,1,1,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628978,Donte DiVincenzo,71,41,30,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630696,Dru Smith,15,7,8,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630613,Duane Washington Jr.,31,17,14,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629685,Dylan Windler,3,3,0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630700,Dyson Daniels,59,33,26,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1628410,Edmond Sumner,53,33,20,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
