PLAYER_ID,PLAYER_NAME,GP,W,L,STL,BLK,DREB,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT
1630639,A.J. Lawson,15,5,10,0.1,0.0,1.0,0.5,0.5,1.0
1631260,AJ Green,35,27,8,0.2,0.0,1.1,0.8,1.0,0.794
1628988,Aaron Holiday,63,32,31,0.6,0.2,0.8,0.8,1.0,0.778
1630174,Aaron Nesmith,73,30,43,0.8,0.5,2.9,1.9,3.0,0.645
1630598,Aaron Wiggins,70,37,33,0.6,0.2,2.0,1.4,2.4,0.587
202692,Alec Burks,50,12,38,0.8,0.2,2.8,1.8,2.5,0.715
1627936,Alex Caruso,66,32,34,1.4,0.7,2.3,1.2,2.0,0.623
1631214,Alondes Williams,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0
1629599,Amir Coffey,50,26,24,0.1,0.1,0.7,0.6,0.8,0.7
2738,Andre Iguodala,7,2,5,0.4,0.3,1.4,1.6,2.0,0.786
1629614,Andrew Nembhard,75,32,43,0.9,0.2,2.2,1.5,2.2,0.689
1629014,Anfernee Simons,62,27,35,0.7,0.2,2.3,2.3,3.1,0.745
1630162,Anthony Edwards,78,39,39,1.6,0.7,5.2,2.1,2.9,0.707
1630559,Austin Reaves,64,35,29,0.5,0.3,2.5,1.8,2.4,0.771
203085,Austin Rivers,52,25,27,0.5,0.1,1.5,0.8,1.0,0.769
1630245,Ayo Dosunmu,79,39,40,0.8,0.3,2.2,1.4,2.3,0.626
1627732,Ben Simmons,42,24,18,1.3,0.6,5.3,1.7,3.0,0.575
1631097,Bennedict Mathurin,78,33,45,0.6,0.2,3.0,1.9,2.7,0.692
1631104,Blake Wesley,34,8,26,0.6,0.1,1.8,0.7,1.0,0.706
203992,Bogdan Bogdanovic,54,27,27,0.8,0.3,2.6,1.9,2.6,0.736
1630538,Bones Hyland,56,36,20,0.7,0.3,2.1,1.5,1.9,0.81
203078,Bradley Beal,50,24,26,0.9,0.7,3.1,1.4,2.0,0.693
1630527,Brandon Boston Jr.,22,9,13,0.4,0.0,1.0,0.8,1.2,0.692
1628971,Bruce Brown,80,53,27,1.1,0.6,3.3,1.9,2.8,0.676
