PLAYER_ID,PLAYER_NAME,GP,W,L,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_FOULS_PCT,ELBOW_TOUCH_PTS_PCT
1630639,A.J. Lawson,15,5,10,9.8,0.1,0.1,0.1,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1631260,AJ Green,35,27,8,12.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.667,0.0,0.0
1628988,Aaron Holiday,63,32,31,20.5,0.1,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.25
1630174,Aaron Nesmith,73,30,43,36.1,0.4,0.2,0.2,0.786,0.0,0.0,0.0,0.3,0.2,0.0,0.083,0.0,0.103,0.0,0.414,0.0,0.759
1630598,Aaron Wiggins,70,37,33,20.9,0.5,0.1,0.2,0.375,0.1,0.1,1.0,0.2,0.2,0.0,0.063,0.1,0.105,0.0,0.421,0.053,0.421
202692,Alec Burks,50,12,38,34.6,0.3,0.1,0.2,0.444,0.0,0.0,0.0,0.2,0.1,0.0,0.286,0.0,0.0,0.0,0.438,0.0,0.625
1627936,Alex Caruso,66,32,34,42.1,0.7,0.1,0.2,0.462,0.0,0.0,1.0,0.2,0.5,0.1,0.226,0.0,0.041,0.0,0.633,0.02,0.286
1631214,Alondes Williams,1,1,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629599,Amir Coffey,50,26,24,13.6,0.1,0.0,0.0,0.0,0.1,0.1,0.75,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.571,0.286,0.429
2738,Andre Iguodala,7,2,5,24.4,0.7,0.1,0.1,1.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.4
